show_id,tier,show_name,show_name_normalized,aliases,producer,broadcaster,primary_youtube_channel_ids,comparison_group,format_type,notes
RMVN,3,Running Man Vietnam,running man vietnam,Running Man Vietnam|Chạy Đi Chờ Chi|Chay Di Cho Chi|RMVN,,,,celebrity_variety,episodic_reality,
GDHAHA,3,Gia Đình Haha,gia dinh haha,Gia Đình Haha|Gia Dinh Haha,,,,family_reality,episodic_reality,
SNN,3,Sao Nhập Ngũ,sao nhap ngu,Sao Nhập Ngũ|Sao Nhap Ngu,,,,military_reality,episodic_reality,
CSQC,3,Chiến Sĩ Quả Cảm,chien si qua cam,Chiến Sĩ Quả Cảm|Chien Si Qua Cam,,,,military_reality,closed_season,
DTGT,3,Đấu Trường Gia Tốc,dau truong gia toc,Đấu Trường Gia Tốc|Dau Truong Gia Toc,,,,celebrity_variety,closed_season,
TD1K2,3,Tổ Đội 1 Không 2,to doi 1 khong 2,Tổ Đội 1 Không 2|To Doi 1 Khong 2,,,,celebrity_variety,closed_season,
BTST,3,Bậc Thầy Săn Thưởng,bac thay san thuong,Bậc Thầy Săn Thưởng|Bac Thay San Thuong,,,,celebrity_variety,closed_season,
HTRR,3,Hành Trình Rực Rỡ,hanh trinh ruc ro,Hành Trình Rực Rỡ|Hanh Trinh Ruc Ro,,,,travel_reality,episodic_reality,
VQLG,3,Về Quê Làm Giàu,ve que lam giau,Về Quê Làm Giàu|Ve Que Lam Giau,,,,family_reality,episodic_reality,
BOMD,3,Bố Ơi! Mình Đi Đâu Thế?,bo oi minh di dau the,Bố Ơi Mình Đi Đâu Thế|Bo Oi Minh Di Dau The,,,,family_reality,episodic_reality,
BDSS,3,Biệt Đội Siêu Sao,biet doi sieu sao,Biệt Đội Siêu Sao|Biet Doi Sieu Sao,,,,celebrity_variety,closed_season,
LCHC,3,La Cà Hát Ca,la ca hat ca,La Cà Hát Ca|La Ca Hat Ca,,,,travel_reality,episodic_reality,
MVNBLST,4,"Mẹ Vắng Nhà, Ba Là Siêu Nhân",me vang nha ba la sieu nhan,Mẹ Vắng Nhà Ba Là Siêu Nhân|Me Vang Nha Ba La Sieu Nhan,,,,family_reality,episodic_reality,
MAGDV,4,Mái Ấm Gia Đình Việt,mai am gia dinh viet,Mái Ấm Gia Đình Việt|Mai Am Gia Dinh Viet,,,,family_reality,rolling_weekly,
ATCDN,4,Anh Trai & Cái Đuôi Nhỏ,anh trai cai duoi nho,Anh Trai & Cái Đuôi Nhỏ|Anh Trai Và Cái Đuôi Nhỏ|Anh Trai Va Cai Duoi Nho,,,,family_reality,closed_season,
XHTDRLX,4,"Xuân Hạ Thu Đông, Rồi Lại Xuân",xuan ha thu dong roi lai xuan,Xuân Hạ Thu Đông Rồi Lại Xuân|Xuan Ha Thu Dong Roi Lai Xuan,,,,music_talent,closed_season,
DUM,4,Điều Ước Của Mẹ,dieu uoc cua me,Điều Ước Của Mẹ|Dieu Uoc Cua Me,,,,family_reality,limited_special,
SONG,5,Sóng,song,Sóng|Song,,,,annual_special,annual_special,
