show_id,season_id,source_type,source_url,playlist_id,channel_id,authority_status,actor_name,max_results,evidence_url,notes
RAPVIET,RAPVIET_2023,official_full_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DYy2yJiXnhMVnvNN1e31l7,PLxKLMN7WdG5DYy2yJiXnhMVnvNN1e31l7,,verified,streamers/youtube-scraper,32,,
TMSVN,TMSVN_2023,official_full_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5ANJruYBhSGi5UBRUIhQTbi,PLxKLMN7WdG5ANJruYBhSGi5UBRUIhQTbi,,verified,streamers/youtube-scraper,32,,
TBTN,TBTN_2025,official_full_playlist,https://www.youtube.com/playlist?list=PLkdwPUk2nejAsI3DcmBXdLg1dv1M0XhrL,PLkdwPUk2nejAsI3DcmBXdLg1dv1M0XhrL,UC_np0YZuvNMIJceE6jHeggQ,verified,streamers/youtube-scraper,31,,
TBTN,TBTN_2025,official_feeder_phase_playlist,https://www.youtube.com/playlist?list=PLG0XT99Vqlcvdcn3cPc7XIIzBz2k9o0RX,PLG0XT99Vqlcvdcn3cPc7XIIzBz2k9o0RX,UCh_zF2FsiCflCPgYDudtcqg,verified,streamers/youtube-scraper,30,,Separate 14-episode feeder phase; not a second season or canonical main phase.
OURSONG,OURSONG_2024,official_full_playlist,https://www.youtube.com/playlist?list=PLy_TpcUT2LZs0BkTqKYtAn61FZgtT3XwP,PLy_TpcUT2LZs0BkTqKYtAn61FZgtT3XwP,,verified,streamers/youtube-scraper,30,,
NHVDDP,NHVDDP_2024,official_show_playlist,https://www.youtube.com/playlist?list=PLJSRfYQoW3dlrKn-U263kJN6t8JogGz0r,PLJSRfYQoW3dlrKn-U263kJN6t8JogGz0r,UCbq8aOyj9ZtIqcD-0MwG1fQ,verified,streamers/youtube-scraper,50,,Mixed official discovery playlist; filter and dedupe Madison and HTV mirrors.
2N1D,2N1D_S1,official_full_playlist,https://www.youtube.com/playlist?list=PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr,PLY-AuYi7sTugPLS6_J0oa1wFmWkCExstr,UChGncdgzOKmp5XQTnQa2h4w,verified,streamers/youtube-scraper,47,,
2N1D,2N1D_S2,official_show_playlist,https://www.youtube.com/playlist?list=PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ,PLY-AuYi7sTugYnwSrAy9DQtC-sAoitZDJ,UChGncdgzOKmp5XQTnQa2h4w,verified,streamers/youtube-scraper,35,,
2N1D,2N1D_S3,official_full_playlist,https://www.youtube.com/playlist?list=PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz,PLY-AuYi7sTuiekcFnXNeSR2-r_zPbuiLz,UChGncdgzOKmp5XQTnQa2h4w,verified,streamers/youtube-scraper,46,,
2N1D,2N1D_S4,official_show_playlist,https://www.youtube.com/playlist?list=PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14,PLY-AuYi7sTujnjUSFEFLK6a5FX_CQ7_14,UChGncdgzOKmp5XQTnQa2h4w,verified,streamers/youtube-scraper,33,,
RMVN,RMVN_S1,official_full_playlist,https://www.youtube.com/playlist?list=PLyb1d5OP9TmFphpG73S6sUrQm5uXV7IrJ,PLyb1d5OP9TmFphpG73S6sUrQm5uXV7IrJ,UCSpmT3hpL4J_4ievnGzkmsQ,verified,streamers/youtube-scraper,31,,
RMVN,RMVN_S2,official_full_playlist,https://www.youtube.com/playlist?list=PLG7CUxrpEOnfzfuMy-SQsENMcthLsO_v-,PLG7CUxrpEOnfzfuMy-SQsENMcthLsO_v-,UC5bxATIALkxlwWQzACzdjHw,verified,streamers/youtube-scraper,31,,
RMVN,RMVN_S3,official_show_playlist,https://www.youtube.com/playlist?list=PLxNMBnO9F8FOdZR7YLDrrT0bk3WaYyApf,PLxNMBnO9F8FOdZR7YLDrrT0bk3WaYyApf,UCTOWyiIkPEqyh_2O-ArJR5w,verified,streamers/youtube-scraper,32,,
GDHAHA,GDHAHA_S1,official_full_playlist,https://www.youtube.com/playlist?list=PLt3LgMEKzFxz_bKONMLhVVhqGkvgmz0rY,PLt3LgMEKzFxz_bKONMLhVVhqGkvgmz0rY,UCh_zF2FsiCflCPgYDudtcqg,verified,streamers/youtube-scraper,36,,
SNN,SNN_S1,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CptpsuXpJwuxHpwWxlv1Tme,PLC_d5n_vB0CptpsuXpJwuxHpwWxlv1Tme,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S2,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CrwHkJz3hUNhzdEMhzHiIvg,PLC_d5n_vB0CrwHkJz3hUNhzdEMhzHiIvg,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S3,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cp3lgS7G06G9w1mChbxZUf_,PLC_d5n_vB0Cp3lgS7G06G9w1mChbxZUf_,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S4,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqCdnDzNstfo0Gsjgkoou5x,PLC_d5n_vB0CqCdnDzNstfo0Gsjgkoou5x,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S5,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CoGXjo5DpopjFxHny_Ep9hH,PLC_d5n_vB0CoGXjo5DpopjFxHny_Ep9hH,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S6,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CphKjGtYpd6u7LJvJ9l3WCd,PLC_d5n_vB0CphKjGtYpd6u7LJvJ9l3WCd,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S7,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0Co88uDvJGUYQ9npjPoaySdB,PLC_d5n_vB0Co88uDvJGUYQ9npjPoaySdB,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_S8,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqDKc1F_pBYsL8ma1oaAP4n,PLC_d5n_vB0CqDKc1F_pBYsL8ma1oaAP4n,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2020,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CpiGXxipKjNENU8hkenUgOO,PLC_d5n_vB0CpiGXxipKjNENU8hkenUgOO,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2022,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CqKPJB_nKNGC5usu-epusl-,PLC_d5n_vB0CqKPJB_nKNGC5usu-epusl-,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2023,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CriKOGYS3OtwqdTUYU8Ex1-,PLC_d5n_vB0CriKOGYS3OtwqdTUYU8Ex1-,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2024_M,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cr41NjQr7k08taDRxmj_jUG,PLC_d5n_vB0Cr41NjQr7k08taDRxmj_jUG,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2024_F,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CoI8qgSX7mPMpAC_nlcbf57,PLC_d5n_vB0CoI8qgSX7mPMpAC_nlcbf57,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
SNN,SNN_2025,official_full_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0Cq3f_8Fj98GNIcl7l7tnjAp,PLC_d5n_vB0Cq3f_8Fj98GNIcl7l7tnjAp,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,32,,
SNN,SNN_2026,official_show_playlist,https://www.youtube.com/playlist?list=PLZuraW9kAXuE,PLZuraW9kAXuE,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,36,,
CSQC,CSQC_2025,official_full_playlist,https://www.youtube.com/playlist?list=PLCgARQSDdGSz-rFWvFVciI3bvFFHhaD82,PLCgARQSDdGSz-rFWvFVciI3bvFFHhaD82,UC7TbGjadpjgOfnUoA-iW6Dg,verified,streamers/youtube-scraper,31,,
DTGT,DTGT_2025,official_show_playlist,https://www.youtube.com/playlist?list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ,PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ,UC5bxATIALkxlwWQzACzdjHw,verified,streamers/youtube-scraper,30,,
TD1K2,TD1K2_2025,official_show_playlist,https://www.youtube.com/playlist?list=PLy_TpcUT2LZuLuV_ZdXi-Q84PGwjQ2GR3,PLy_TpcUT2LZuLuV_ZdXi-Q84PGwjQ2GR3,UCFMEYTv6N64hIL9FlQ_hxBw,verified,streamers/youtube-scraper,30,,
BTST,BTST_2024,official_show_playlist,https://www.youtube.com/playlist?list=PLC_d5n_vB0CrecgNHLjt6kxEMlZDeBqp5,PLC_d5n_vB0CrecgNHLjt6kxEMlZDeBqp5,UCzZ94GZFgqqx6Pzbnj3UMjA,verified,streamers/youtube-scraper,37,,
HTRR,HTRR_2023,official_show_playlist,https://www.youtube.com/playlist?list=PLy_TpcUT2LZtT4YxNqO277e2zk-7oUS_6,PLy_TpcUT2LZtT4YxNqO277e2zk-7oUS_6,UC5bxATIALkxlwWQzACzdjHw,verified,streamers/youtube-scraper,36,,
VQLG,VQLG_2025,official_show_playlist,https://www.youtube.com/playlist?list=PLaHmC9pxzevpEDOuWCKZPWyWhLNCgZFLy,PLaHmC9pxzevpEDOuWCKZPWyWhLNCgZFLy,UCgL3LEm7JuJNXKWDQTmbuYA,verified,streamers/youtube-scraper,80,,
BOMD,BOMD_S5,official_show_playlist,https://www.youtube.com/playlist?list=PLLg_kRqp4Dpq0Gd1snNkyj5FF7hFIpGku,PLLg_kRqp4Dpq0Gd1snNkyj5FF7hFIpGku,UC1VAL4j9yiPQVKMtIS1yUOA,verified,streamers/youtube-scraper,31,,
BDSS,BDSS_2024,official_show_playlist,https://www.youtube.com/playlist?list=PLJSRfYQoW3dn5wLuH9xgrMbaazxZdZBZ_,PLJSRfYQoW3dn5wLuH9xgrMbaazxZdZBZ_,UCbq8aOyj9ZtIqcD-0MwG1fQ,verified,streamers/youtube-scraper,30,,
LCHC,LCHC_2023,official_full_playlist,https://www.youtube.com/playlist?list=PLJSRfYQoW3dmvVTD69QV9X8wpEgxGFfca,PLJSRfYQoW3dmvVTD69QV9X8wpEgxGFfca,UCbq8aOyj9ZtIqcD-0MwG1fQ,verified,streamers/youtube-scraper,30,,
MAGDV,MAGDV_CONTINUOUS,official_full_playlist,https://www.youtube.com/playlist?list=PLDNVHSVr-vVkKKgcJr--k4Dtplx8TwHmW,PLDNVHSVr-vVkKKgcJr--k4Dtplx8TwHmW,UClOMHp76zB3wHcKGYxTRWFA,verified,streamers/youtube-scraper,220,,
MAGDV,MAGDV_CONTINUOUS,official_playlist_mirror,https://www.youtube.com/playlist?list=PLJSRfYQoW3dlOYbVEqJVpg_8NGG8Xpd4L,PLJSRfYQoW3dlOYbVEqJVpg_8NGG8Xpd4L,UCbq8aOyj9ZtIqcD-0MwG1fQ,verified,streamers/youtube-scraper,36,,
ATCDN,ATCDN_2026,official_full_playlist,https://www.youtube.com/playlist?list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB,PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB,UCFMEYTv6N64hIL9FlQ_hxBw,verified,streamers/youtube-scraper,30,,
XHTDRLX,XHTDRLX_S1,official_full_playlist,https://www.youtube.com/playlist?list=PLxNMBnO9F8FNxpfidsVyxNffOg_VhLOOa,PLxNMBnO9F8FNxpfidsVyxNffOg_VhLOOa,UCTOWyiIkPEqyh_2O-ArJR5w,verified,streamers/youtube-scraper,30,,
XHTDRLX,XHTDRLX_S2,official_show_playlist,https://www.youtube.com/playlist?list=PLxNMBnO9F8FNbuRLhE0V1dYdSqFfA129g,PLxNMBnO9F8FNbuRLhE0V1dYdSqFfA129g,UCTOWyiIkPEqyh_2O-ArJR5w,verified,streamers/youtube-scraper,36,,
XHTDRLX,XHTDRLX_S3,official_full_playlist,https://www.youtube.com/playlist?list=PLxNMBnO9F8FMtG4_3bKxsshIs4cpaii3F,PLxNMBnO9F8FMtG4_3bKxsshIs4cpaii3F,UCTOWyiIkPEqyh_2O-ArJR5w,verified,streamers/youtube-scraper,34,,
SONG,SONG_2018,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5BOtJOsSKTjxXWD_LVCYPYd,PLxKLMN7WdG5BOtJOsSKTjxXWD_LVCYPYd,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
SONG,SONG_2020,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DWTxwel5hsaLSOlpzgayQ5,PLxKLMN7WdG5DWTxwel5hsaLSOlpzgayQ5,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
SONG,SONG_2023,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5Ddu4T4qbzgUbixCkeS_A5y,PLxKLMN7WdG5Ddu4T4qbzgUbixCkeS_A5y,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
SONG,SONG_2024,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7,PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
SONG,SONG_2025,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5BIwNQgqYSWciQhg-Jtj8yQ,PLxKLMN7WdG5BIwNQgqYSWciQhg-Jtj8yQ,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
SONG,SONG_2026,official_show_playlist,https://www.youtube.com/playlist?list=PLxKLMN7WdG5CjEObleDT2wm09IizUC5I6,PLxKLMN7WdG5CjEObleDT2wm09IizUC5I6,UCkna2OcuN1E6u5I8GVtdkOw,verified,streamers/youtube-scraper,30,,
