show_id,season_id,season_name,season_year,season_number,season_status,expected_episode_count,official_playlist_id,official_playlist_url,season_start_date,season_end_date,format_type,review_status
XHTDRLX,XHTDRLX_S3,Xuân Hạ Thu Đông Rồi Lại Xuân Mùa 3,2024,3,completed,18,,,,,closed_season,source_verified
DUM,DUM_S1,Điều Ước Của Mẹ Mùa 1,2025,1,completed,22,,,,,limited_special,official_site_only_source_gap
DUM,DUM_S2,Hành Trình Tỏa Sắc Cùng Điều Ước Của Mẹ,2026,2,airing,21,,,,,limited_special,official_site_only_source_gap
SONG,SONG_2018,Sóng 18,2018,1,completed,1,,,,,annual_special,source_verified
SONG,SONG_2019,Sóng 19,2019,2,completed,1,,,,,annual_special,source_gap
SONG,SONG_2020,Sóng 20,2020,3,completed,1,,,,,annual_special,mixed_source
SONG,SONG_2021,Sóng 21,2021,4,completed,1,,,,,annual_special,source_gap
SONG,SONG_2022,Sóng 22,2022,5,completed,1,,,,,annual_special,source_gap
SONG,SONG_2023,Sóng 23,2023,6,completed,1,,,,,annual_special,mixed_source
SONG,SONG_2024,Sóng 24,2024,7,completed,1,,,,,annual_special,mixed_source
SONG,SONG_2025,Sóng 25,2025,8,completed,1,,,,,annual_special,mixed_source
SONG,SONG_2026,Sóng 26,2026,9,completed,1,,,,,annual_special,mixed_source
